 # Number of iterations in MCMC :        90000
 # Weight   -ln(L/L_{max})    omega_b    omega_cdm    n_s    A_s    H0    m_ncdm    MG_beta2 
          14   79713.230595491230       1.96965578943490982E-002  0.11319667845964432       0.96828055381774902       2.19804612242777257E-009   65.054946899414063       9.35110845603048801E-004  0.55921334028244019     
          23   79712.135969397452       1.96968745440244675E-002  0.11319634318351746       0.96828377246856689       2.19806656066909194E-009   65.054893493652344       9.57171374466270208E-004  0.55914843082427979     
          10   79713.991344258815       1.96978077292442322E-002  0.11319523304700851       0.96828961372375488       2.19803302109098497E-009   65.054878234863281       9.20623017009347677E-004  0.55937397480010986     
           1   79713.462163209493       1.96976531296968460E-002  0.11319591104984283       0.96828192472457886       2.19807704189220457E-009   65.054893493652344       9.25432541407644749E-004  0.55966681241989136     
          16   79712.867385102363       1.96996293962001801E-002  0.11319941282272339       0.96828401088714600       2.19803668945741411E-009   65.056602478027344       9.41220438107848167E-004  0.56100440025329590     
           2   79713.081519576328       1.96999777108430862E-002  0.11319828778505325       0.96828728914260864       2.19804664648286820E-009   65.056625366210938       9.37452423386275768E-004  0.56033325195312500     
          28   79710.276344477155       1.97010766714811325E-002  0.11319988220930099       0.96829134225845337       2.19808595097114577E-009   65.057052612304688       1.00809475407004356E-003  0.56021696329116821     
          22   79710.064555629724       1.97005774825811386E-002  0.11319915950298309       0.96828603744506836       2.19812263579430898E-009   65.056709289550781       9.94768808595836163E-004  0.55955427885055542     
          37   79709.911123339276       1.96997858583927155E-002  0.11319927126169205       0.96827793121337891       2.19814412290362498E-009   65.056518554687500       9.73034475464373827E-004  0.55936682224273682     
          22   79709.554024943995       1.97001677006483078E-002  0.11319890618324280       0.96828633546829224       2.19813049690749873E-009   65.056579589843750       1.00562279112637043E-003  0.55956983566284180     
           8   79712.973630476466       1.96983069181442261E-002  0.11319331079721451       0.96829015016555786       2.19812001542949329E-009   65.054611206054688       9.39155637752264738E-004  0.55967903137207031     
           1   79714.787649676771       1.96988023817539215E-002  0.11319254338741302       0.96829396486282349       2.19809905262342089E-009   65.054977416992188       9.22543578781187534E-004  0.56007719039916992     
          10   79710.195923681473       1.97005383670330048E-002  0.11320061981678009       0.96827006340026855       2.19813259320909712E-009   65.057189941406250       9.19891463126987219E-004  0.56079411506652832     
           6   79711.316591023497       1.97014994919300079E-002  0.11320184171199799       0.96827393770217896       2.19808752316529545E-009   65.058036804199219       9.12893388886004686E-004  0.56072360277175903     
           2   79709.219482361514       1.97012331336736679E-002  0.11320235580205917       0.96827077865600586       2.19811372656668041E-009   65.057418823242188       9.27933433558791876E-004  0.56075936555862427     
          10   79708.631181645032       1.97011157870292664E-002  0.11320275813341141       0.96827125549316406       2.19809643228671858E-009   65.057395935058594       9.20811900869011879E-004  0.56062591075897217     
           2   79708.579523263441       1.97011381387710571E-002  0.11320150643587112       0.96827721595764160       2.19810062482694170E-009   65.057098388671875       9.35201649554073811E-004  0.56005889177322388     
           3   79709.430844832706       1.97020340710878372E-002  0.11320203542709351       0.96827566623687744       2.19810429330619662E-009   65.057479858398438       9.21560451388359070E-004  0.56093126535415649     
          62   79708.873107573498       1.97020918130874634E-002  0.11320260167121887       0.96827656030654907       2.19811634692399895E-009   65.057716369628906       9.53966460656374693E-004  0.56185442209243774     
           5   79708.065114010358       1.97022762149572372E-002  0.11320298165082932       0.96827280521392822       2.19815408041574913E-009   65.057899475097656       9.60997072979807854E-004  0.56084674596786499     
           1   79711.811501803430       1.97013560682535172E-002  0.11319878697395325       0.96827983856201172       2.19810481737516159E-009   65.057304382324219       9.00717510376125574E-004  0.56051802635192871     
           7   79709.115943211087       1.97027418762445450E-002  0.11320235580205917       0.96827334165573120       2.19812578023621131E-009   65.057876586914063       9.12019051611423492E-004  0.56099086999893188     
           1   79710.564430523053       1.97018962353467941E-002  0.11320030689239502       0.96827530860900879       2.19809381195313971E-009   65.057113647460938       8.68827628437429667E-004  0.56071907281875610     
           5   79710.337919494268       1.97012312710285187E-002  0.11320103704929352       0.96826654672622681       2.19809695635380915E-009   65.056747436523438       8.37706786114722490E-004  0.56102472543716431     
           4   79709.656492945665       1.97028480470180511E-002  0.11320492625236511       0.96825832128524780       2.19808752316529545E-009   65.058433532714844       8.17981839645653963E-004  0.56149673461914063     
           6   79710.352881007595       1.97028219699859619E-002  0.11320517212152481       0.96825754642486572       2.19806656066909194E-009   65.058753967285156       8.01310292445123196E-004  0.56160324811935425     
           1   79710.534356346558       1.97019316256046295E-002  0.11320152878761292       0.96826452016830444       2.19811267842462741E-009   65.057556152343750       8.31605575513094664E-004  0.56118696928024292     
           2   79708.625783508236       1.97027511894702911E-002  0.11320204287767410       0.96826577186584473       2.19816875472635956E-009   65.057762145996094       8.81652231328189373E-004  0.56109780073165894     
           1   79708.805983729515       1.97033677250146866E-002  0.11320146918296814       0.96827244758605957       2.19816403797297984E-009   65.057960510253906       8.98226629942655563E-004  0.56211543083190918     
           6   79709.467052352164       1.97037719190120697E-002  0.11320112645626068       0.96828067302703857       2.19813783397184013E-009   65.058120727539063       9.18660196475684643E-004  0.56132197380065918     
           1   79710.614369650721       1.97044424712657928E-002  0.11320138722658157       0.96828401088714600       2.19812892468261143E-009   65.058868408203125       9.32869268581271172E-004  0.56161028146743774     
          11   79708.109216173296       1.97048187255859375E-002  0.11320437490940094       0.96827620267868042       2.19814674329717900E-009   65.059341430664063       9.47195047046989202E-004  0.56174379587173462     
           9   79708.677348667494       1.97036992758512497E-002  0.11320283263921738       0.96827191114425659       2.19815355633503861E-009   65.058700561523438       9.10298374947160482E-004  0.56198555231094360     
           4   79707.969178630388       1.97019409388303757E-002  0.11319950222969055       0.96827423572540283       2.19820177228340804E-009   65.056823730468750       9.32570721488445997E-004  0.56154787540435791     
           3   79708.400050753029       1.97023563086986542E-002  0.11319890618324280       0.96828275918960571       2.19817923643677256E-009   65.056976318359375       9.49425215367227793E-004  0.56189066171646118     
          35   79705.607287833322       1.97032764554023743E-002  0.11320438235998154       0.96826392412185669       2.19821697100810179E-009   65.058372497558594       9.48381260968744755E-004  0.56245911121368408     
           2   79707.907718398914       1.97033770382404327E-002  0.11320222914218903       0.96827536821365356       2.19818657366380013E-009   65.058517456054688       9.61757381446659565E-004  0.56255495548248291     
